laptop_id,img_link,name,laptop_brand,usecases,price_rm,tags
249,https://rukminim1.flixcart.com/image/312/312/kfmv9u80/computer/s/v/9/asus-na-gaming-laptop-original-imafwfxafdy5yzyu.jpeg?q=70,ASUS ROG Zephyrus G15 (2020) Ryzen 9 Octa Core 4900HS,ASUS, Gaming,7149.45,amd ryzen 9 octa core processor 16 gb ddr4 ram 64 bit window 10 oper system game
250,https://rukminim1.flixcart.com/image/312/312/jwkzwy80/computer/f/h/e/acer-na-laptop-original-imafh8bvbwyevtrs.jpeg?q=70,acer Aspire 5 Core i5 8th Gen,acer, Student/Education,3299.45,intel core i5 processor (8th gen) 8 gb ddr4 ram 64 bit window 10 oper system student/educ
251,https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/computer/k/f/3/pulse-gl66-11ugk-thin-and-light-laptop-msi-original-imag6hgu5bffmasm.jpeg?q=70,MSI Pulse GL66 Core i7 11th Gen,MSI, Gaming,7925.5,intel core i7 processor (11th gen) 16 gb ddr4 ram 64 bit window 10 oper system game
257,https://rukminim1.flixcart.com/image/312/312/kwb07m80/computer/8/b/7/an515-57-gaming-laptop-acer-original-imag9yek7qv67nan.jpeg?q=70,acer Nitro 5 Core i5 11th Gen,acer, Gaming,3629.945,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system game
259,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/b/p/8/gp66-leopard-11ug-gaming-laptop-msi-original-imageynxarsxgnh3.jpeg?q=70,MSI GP66 Leopard Core i7 11th Gen,MSI, Gaming,7149.45,intel core i7 processor (11th gen) 16 gb ddr4 ram 64 bit window 10 oper system game
260,https://rukminim1.flixcart.com/image/312/312/l3929ow0/computer/d/n/c/82c3a008ih-laptop-lenovo-original-imageexr8yzmydfd.jpeg?q=70,Lenovo Celeron Dual Core,Lenovo, Budget Friendly,1099.45,intel celeron dual core processor 4 gb lpddr4 ram do oper system budget friendli
261,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70,HP Victus Intel Core i5 12th Gen,HP, Gaming,3739.45,intel core i5 processor (12th gen) 8 gb ddr4 ram 64 bit window 11 oper system game
262,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/u/x/h/na-gaming-laptop-asus-original-imag7bhdsxf4t3sz.jpeg?q=70,ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,ASUS, Gaming,3552.45,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 10 oper system game
263,https://rukminim1.flixcart.com/image/312/312/kmns7m80/computer/o/0/x/na-gaming-laptop-acer-original-imagfgq66pufmnny.jpeg?q=70,acer Nitro 5 Ryzen 7 Octa Core AMD R7,acer, Gaming,6341.5,amd ryzen 7 octa core processor 16 gb ddr4 ram 64 bit window 10 oper system game
264,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70,ASUS VivoBook Ultra Ryzen 7 Octa Core AMD R7,ASUS, Student/Education,3189.45,amd ryzen 7 octa core processor 8 gb ddr4 ram 64 bit window 10 oper system student/educ
265,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/b/l/5/a314-35-notebook-acer-original-imagg46sdzyjh6ge.jpeg?q=70,acer Aspire 3 Pentium Silver,acer, Budget Friendly,1456.95,intel pentium silver processor 4 gb ddr4 ram 64 bit window 11 oper system budget friendli
266,https://rukminim1.flixcart.com/image/312/312/kr3tj0w0/computer/b/p/r/na-notebook-msi-original-imag4z5zs2xkvmwh.jpeg?q=70,MSI Pulse GL66 Core i7 11th Gen,MSI, Gaming,6324.45,intel core i7 processor (11th gen) 16 gb ddr4 ram 64 bit window 10 oper system game
267,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/q/d/n/-original-imagetjymucqggdq.jpeg?q=70,ASUS TUF Gaming F17 (2022) Core i7 12th Gen,ASUS, Gaming,6324.45,intel core i7 processor (12th gen) 16 gb ddr5 ram 64 bit window 11 oper system game
